planet_ID,T_q1,T_q2,T_q3,log_H2O_q1,log_H2O_q2,log_H2O_q3,log_CO2_q1,log_CO2_q2,log_CO2_q3,log_CH4_q1,log_CH4_q2,log_CH4_q3,log_CO_q1,log_CO_q2,log_CO_q3,log_NH3_q1,log_NH3_q2,log_NH3_q3
21,1310.4021617910723,1338.4156136435834,1365.8982183689752,-4.502528555981194,-4.400443991022047,-4.297218476690215,-11.208717339886864,-9.632549560693722,-8.343233928309163,-5.475302439116191,-5.354085102133804,-5.238780724003783,-10.23833042696401,-6.750195303782509,-4.7421003839977045,-9.501290196330018,-6.054892635831588,-5.725278865872821
22,926.9860321582138,942.9146701493694,959.8050526819046,-10.295075921002235,-6.6343393270592035,-5.547318912103358,-4.275991899740013,-4.106044995631376,-3.9271873867769123,-4.915032424097812,-4.800747616555477,-4.68482312781548,-10.368590326535104,-7.436508078477871,-4.463496867320188,-4.454891666700135,-4.3803294406403595,-4.302031635635073
23,1019.0184497360358,1036.071214709023,1053.347864247609,-11.108537317979644,-9.337997222204562,-7.609326586370097,-5.894405152961784,-5.69936300648703,-5.512668080848818,-11.272777381887002,-9.609488538021196,-8.061538585302793,-4.583225052072295,-3.8566210644646994,-3.3402740127567303,-5.3300607648564835,-5.256100865098248,-5.186666272696736
24,2810.9402042414813,2831.9534895140573,2852.303669083857,-10.872151089179777,-8.906419429404442,-6.707869359176939,-4.916440150451833,-4.864197011814652,-4.810317041882459,-3.309601336867502,-3.2825818055714144,-3.2562760881530575,-10.851437554001157,-8.461467529866974,-5.715249074098188,-10.903213322077772,-8.841907658028823,-6.5612976443612645
25,2686.6582495588123,2718.617884998095,2747.7083389828103,-11.063013247971826,-9.098628671141386,-7.4070784268255405,-5.037634808821572,-4.982251340464353,-4.919054989997335,-9.412117251179584,-7.116652606391308,-6.813064276368124,-3.837716246869541,-3.660729318227339,-3.4856996003401313,-10.325609889797175,-7.339347922509024,-6.598243605727095
26,2449.927697327827,2535.623026328035,2627.4441166312045,-4.935134581900324,-4.781135381851651,-4.619371324197699,-6.323016394280732,-6.060635962679914,-5.799899235568648,-10.815106366787841,-8.393036690212236,-6.2232954109049174,-7.629236896373442,-3.973006946586114,-3.1257920221876936,-5.14804403383901,-4.97224377567858,-4.819077508160172
27,628.9218748573642,637.7330014028369,646.7558260224946,-3.890763215152279,-3.8094402720631995,-3.7322802740242094,-6.9063221425590795,-6.646090491429298,-6.372133584898986,-4.564247310039592,-4.500703882309401,-4.439535208670253,-9.311554496000952,-5.927776426140578,-5.0167445464368186,-11.033217201253759,-9.39090400214321,-7.618138137991041
28,968.5398153432645,986.4141546134948,1003.272464824099,-11.110555184729119,-9.456595568141218,-7.657037923050577,-7.019084311003615,-6.8206760986948645,-6.616936074496927,-6.66218371360267,-6.53364090995181,-6.400555207900988,-3.4626341714849107,-3.2357105364064447,-2.994156861211977,-8.7239261487165,-6.916013312656926,-6.589797298955542
29,893.2560492694495,903.990765836815,915.223969907616,-11.162425687294911,-9.431226312454562,-7.802064210298418,-10.714772921331113,-9.088846782617718,-8.341470648711343,-5.850554131609186,-5.758969492134882,-5.675681290855954,-4.796809944100449,-4.497215684633923,-4.222814407016961,-6.368318907349425,-6.2703323111240685,-6.154971803218344
30,791.2502986333631,798.4021204810755,805.5815217185018,-5.678138440499496,-5.602170804169456,-5.528760912416408,-9.190225913718105,-8.473941595076793,-8.085979303643393,-11.191428401326649,-9.80492821889621,-8.309372430072061,-3.973893700268249,-3.738687615404835,-3.5195100943332416,-11.103399536818662,-9.195405667137386,-7.480984212464961
31,1337.9815905779128,1358.7350978166028,1382.1410346068049,-10.829849342797718,-8.122898899845316,-6.506786906330466,-4.781085666015892,-4.668759043344623,-4.565209792318174,-11.250194333483384,-9.41326138443988,-7.670249925402929,-9.110899741099429,-5.105843817505959,-4.026086764332717,-4.8145919647349995,-4.758902224282855,-4.702360975024657
32,632.9597331168338,642.6404481080478,652.5780862448479,-10.862863700440366,-7.9783889047521015,-6.064944582071299,-11.071609974402461,-9.150963484855682,-7.952139974460583,-3.803573587061074,-3.7381444675322486,-3.674324757781425,-5.827713714283094,-5.183172859903058,-4.70650584844931,-6.726359447059179,-6.394544351591943,-6.177266210309779
33,505.46531521271976,515.8975771231742,526.3170662563415,-4.240361631431502,-4.087945000656449,-3.9363916285133382,-7.631741244346703,-7.049416150706452,-6.5418467467128405,-5.173910760346162,-5.033906290688507,-4.889577794460452,-4.355079200095671,-3.91004746603934,-3.478736441912812,-4.794304609732227,-4.69679990909195,-4.598281357758974
34,431.70092066732656,436.69834452121535,441.420395370025,-4.9160327691556365,-4.7687314226720865,-4.640711912383775,-6.087589139224423,-5.8134021206450965,-5.5347619401556045,-5.328649079103338,-5.224849037838189,-5.127945982063698,-5.095772737621155,-4.630829620527709,-4.275655358983148,-5.0606460427702284,-4.996857615811323,-4.939436429038738
35,985.6583427753857,995.1356714269533,1004.4052068690404,-3.979663974369125,-3.921346908404076,-3.8513534735281514,-7.768938324704502,-7.2080998056963095,-6.90264444945836,-3.6448448533434736,-3.6026828023033906,-3.5573989784055446,-10.785543665479114,-7.997218131561482,-5.448568320326532,-11.073962941839838,-9.093955200919678,-7.111319866852048
36,674.4195411867479,691.1839801507809,707.572364858004,-4.139814247042782,-3.994033054380711,-3.863005518326825,-8.569488704571194,-7.821878943569056,-7.377089994951935,-11.160816455220772,-9.468565959961948,-8.075563538389178,-10.322067188153268,-7.480839165264216,-5.680289969068553,-10.860905082690083,-8.208233201830563,-6.576322115027418
37,648.466409738351,655.1683244405614,661.4785608011791,-3.5768125373830584,-3.4795413661344505,-3.3849072485863245,-6.798517209529608,-6.393341104501379,-6.069439041159393,-3.125851995112199,-3.0774464144172993,-3.024393022408358,-10.310780075176131,-6.603938722497013,-4.8579239295044765,-10.969833990344869,-9.085964880545696,-7.13921541492922
38,2490.2195758918647,2557.317967818083,2630.0421311952955,-4.27224912301465,-4.12681346283186,-3.982165315366589,-10.95775737367366,-9.128306945861342,-7.41786685080458,-10.742171136277854,-8.730088452694092,-6.242270303896105,-10.578205643531696,-7.231452529345221,-4.77530927733034,-4.168574048967448,-4.030611615792869,-3.893773575794502
39,646.8273213933818,654.4929776114776,662.5667445273513,-4.006486845570579,-3.9367876851132304,-3.8666948420649314,-6.4845495815814775,-6.277588933368779,-6.076479511063332,-10.243565161388075,-7.5680893374211315,-6.85886596542231,-3.7816688445759072,-3.5183508930177707,-3.2483867343039217,-11.0171745508897,-9.221256450726488,-7.501869125731381
40,1989.622185492328,2022.2875676893896,2057.41420628672,-3.6530753969039624,-3.5775428042958417,-3.498439654099115,-4.59173256268694,-4.427782450243068,-4.252040240522016,-11.046305207037701,-9.014494105768758,-6.71556178848265,-10.782645834004969,-7.870728072914055,-4.678755132731981,-11.110165888536507,-8.827174185572028,-6.648419766236231
41,851.983241712379,862.6971529682065,874.1695474026582,-11.02045887316669,-8.931425716351155,-6.696295623646515,-6.1074667252861365,-5.910460824879439,-5.735207944566809,-3.535096388897349,-3.4742078115897477,-3.413121825694681,-5.71917440908458,-4.30442153723253,-3.7204109975533552,-5.888709471174372,-5.715251457882488,-5.566908689848393
42,2710.3136483814133,2731.9281179077693,2755.1731890652395,-3.794548005612433,-3.754841324237114,-3.718521545216442,-6.6455879280783625,-6.362028500382186,-6.156078327028546,-10.8877518929961,-8.5359649383647,-6.482146656034306,-5.612694717525147,-4.425815015177156,-3.948624385305941,-10.79674501855821,-8.504202284968624,-6.299209751221476
43,520.294922088927,525.2863799526833,530.8088446340066,-5.250784520559321,-5.1322208755050305,-5.021143496009737,-5.28118013134699,-5.1180977157186325,-4.939191719225574,-5.103519733393592,-5.045697049182528,-4.989573998882387,-3.5223864571748797,-3.201678498464223,-2.9128370807118644,-6.890793064476011,-6.675116652146294,-6.507359904559569
44,766.012730623095,776.7415022151159,786.1570115425834,-11.111663548170787,-9.00387975923545,-7.15193167078887,-11.233143711294659,-9.80165743324618,-8.703544824566297,-4.46031237682047,-4.416363238142732,-4.364604158210373,-8.154629285396013,-6.193147308724297,-5.569715086514674,-11.109611606998557,-9.360806074703167,-7.757291610440012
45,436.16027062265033,442.8095395066592,449.9501158846439,-5.074126060572923,-4.952719059214361,-4.824113573037322,-7.500762971973034,-7.106537942230477,-6.7500794796883135,-11.293013445424059,-9.77057501812115,-8.109130205354333,-5.4601559784426765,-5.033687503873137,-4.627063935666746,-5.751798159201279,-5.647001219242059,-5.550932386600301
46,710.7114432665951,730.817022831424,750.2383710811928,-11.083242140820635,-9.290573631899658,-7.432869759183952,-6.431947417454466,-6.19422498833513,-5.927686256693819,-5.266812863934614,-5.137442703132865,-5.008316980410271,-4.972137798868163,-4.559831792855345,-4.224260459045163,-11.246719145486288,-9.535390229622752,-7.773559892267653
47,1519.5917947764267,1559.897990994505,1595.6982236499155,-9.98318817360422,-6.116569424205861,-4.839365937901753,-5.311898139279622,-5.059621406594628,-4.810960956030485,-3.8694847330893865,-3.7653376777306886,-3.651003715051869,-10.486033802956856,-7.350072304524337,-4.301899640232715,-5.030262817867353,-4.813142927986411,-4.655936993871609
48,2079.852027413039,2124.2336408280016,2164.206764794286,-3.433615091899617,-3.346061897372333,-3.2447214703682676,-9.78707877682811,-6.752399218633146,-5.98108147846316,-3.704034976398836,-3.5789558194371374,-3.462121628202281,-10.423409938876127,-7.052512343423334,-4.123765067964548,-10.895700605696776,-8.615772524299883,-5.92416085685343
49,324.00354286813683,327.90213000496317,331.9413356785197,-10.92132603684133,-8.885514713206252,-7.167796083333024,-6.600592579306394,-6.254892599794392,-5.925594329622736,-5.954539924376572,-5.81976719771877,-5.717389897123442,-6.585439948814456,-5.944104115677797,-5.483644953187405,-10.53176040306932,-7.947522710746182,-7.22440844656096
50,1594.049013023424,1624.2743992106434,1653.912751822352,-5.697499517100329,-5.092808478210232,-4.862102702004963,-4.279422685557095,-4.113570319975522,-3.9405127208398563,-10.913307042311192,-8.736037028660832,-6.670255705612079,-10.41543076962539,-7.6295036968437335,-4.506804797816232,-4.239705319076115,-4.156713388694324,-4.074114387766297
51,319.8736122825349,322.0441659595765,324.51251445278064,-11.167944107099487,-9.63805189583412,-8.110807322504739,-4.134965556662147,-3.9596990363930247,-3.8123275150612765,-7.035792675091191,-6.777345015662303,-6.608417496268202,-5.259677151676907,-4.770788238616331,-4.310509722422413,-11.03696543074544,-9.483996490312208,-7.978180176920718
52,2478.9912213262014,2519.3358166903085,2562.9709070689923,-4.832096789965013,-4.763977822098518,-4.7010976744898,-10.88856015057383,-8.836566872494931,-7.586173880920709,-5.688094122067212,-5.549175392064767,-5.428481416016686,-4.147896718142753,-3.8518913152349046,-3.5753020025521396,-11.06566594078652,-9.126517641682423,-7.0542864809263754
53,1048.3104111485286,1066.7097222981456,1084.5298637479364,-10.925369453832147,-8.756100453232442,-7.133230253317772,-6.460984250883386,-6.345855688310368,-6.236560264774065,-11.332093511101405,-9.90853934542995,-8.367671363430135,-3.896401485983379,-3.7113110867921053,-3.5425709215505017,-6.023118274584457,-5.9364205096143605,-5.854439763479364
54,960.6555713806503,969.3371795580548,977.8170000650537,-11.24028163606523,-9.801269880182476,-8.064129244076318,-4.38130687209362,-4.315215447094188,-4.2434951894331725,-8.597249749162335,-7.519706545712538,-7.196385007367968,-10.406203732218914,-6.828228075745466,-5.00699920062133,-11.27760063272242,-9.735524807191307,-8.024191686095579
55,787.8878802722584,803.6903739924331,821.4799061163349,-5.283051204778036,-5.139238439921873,-5.008904418778286,-7.743540605228497,-7.412929845779956,-7.103050691953713,-11.171689008276122,-9.384674408142349,-8.020752328124313,-4.9237110800404755,-4.519768013134584,-4.135129159146985,-11.218912897683277,-9.442192437675956,-7.649240858285157
56,1758.4963300583736,1792.3418590562499,1825.5087669049408,-11.112757501756832,-9.478308780206477,-7.831568514668482,-5.7950938953463655,-5.674719380462549,-5.544914702285349,-5.489280228862792,-5.411761691603702,-5.33137800714098,-4.504287165862667,-3.9356602284060154,-3.521164272341823,-11.206970984457842,-9.364959846057673,-7.573673713484276
57,942.7062985074332,973.1802208878707,1004.0169962283109,-10.077586837998778,-6.937437860213733,-6.167119443118476,-5.090281655775762,-4.901788630132416,-4.6770941325251,-6.931097619754993,-6.761376804415984,-6.594378884723811,-4.339508387294848,-3.9084718263412452,-3.5218121698833422,-7.217217162959914,-6.479305586497713,-6.186315868647006
58,1550.472574815135,1580.0440721114435,1610.0068724515438,-10.979208806902875,-9.032734962966675,-6.832354532775766,-6.417064143671945,-6.193207802243974,-5.9807564006639655,-4.465769817264102,-4.392370073439933,-4.3275217154721,-10.353097573607796,-7.594331354911481,-5.0170211998607686,-5.904231870954877,-5.714932886984891,-5.57036017128433
59,690.0035972259813,707.7539747524872,725.3727534503917,-10.832615259165491,-8.6289198619065,-6.289475887982973,-4.715321177118613,-4.488538711045466,-4.259882333150338,-3.6643199211956343,-3.5506363337143227,-3.441071254350984,-10.776230187471091,-7.930385159256197,-5.438161806238714,-10.870254737665714,-8.724354937900433,-6.96378844666492
60,1338.3700979151167,1358.6863760472754,1377.68171671131,-10.868865257264437,-8.191377873712437,-5.54958638732196,-11.09828519789992,-9.201689372327754,-7.4593849070645435,-3.11669222274965,-3.0551627621406046,-2.9885702169303126,-10.641375704522606,-7.82318712793726,-4.716389676939509,-4.131073076830478,-4.024010185252555,-3.92912915831568
61,2301.4874153188234,2329.4153265551076,2360.6753845777057,-10.459523057616664,-6.939838454750559,-5.90494283312088,-7.386662593380642,-7.120404657872586,-6.927849047005275,-11.11839378275994,-9.335641101906837,-7.377676726540374,-3.1466490849335753,-2.964505477344585,-2.7937577348184433,-4.632574870707168,-4.573435175046539,-4.521299243459305
62,239.62511296015919,242.23997725099966,245.21598403253168,-11.052650618435653,-9.233491948293324,-7.8731661864687,-10.316387155417155,-9.211885655595838,-8.585564282146057,-7.851672663212067,-7.442559063052686,-7.134719243017117,-4.096863398679483,-3.801130896290224,-3.4854051365976004,-10.938503206983654,-8.914702541444528,-7.775831203785465
63,629.0091176805299,635.6038221664412,641.5212440135773,-5.186728012425713,-5.05487572173023,-4.9320064828358845,-6.334194501472104,-6.1094065902117,-5.907475473979075,-11.23575699357548,-9.404038939305128,-7.460623329989457,-3.5771427850649196,-3.2862539481022828,-3.016731199084468,-4.129585526071185,-4.086110523100812,-4.042690979031563
64,1450.8469759306467,1475.86860380389,1501.809619564969,-3.36078598439559,-3.266887607478377,-3.1687101143943903,-6.588226388452536,-6.271966421056946,-6.006984668850859,-10.811348399013596,-8.230235760367737,-6.216001270596989,-9.350307171675528,-5.4667238712059865,-3.7100436676765978,-10.93807339977359,-8.825441104600305,-6.4413208186961635
65,839.9893587877162,850.0304365174851,860.4538249031175,-3.132252736748108,-3.0635483537578754,-2.9926290693550444,-6.43827864972379,-6.163418559543957,-5.909508818027193,-4.447052645560913,-4.385883998757416,-4.322345854382405,-6.1073457134522195,-3.8055384670634105,-3.1483465621199223,-5.396769770059727,-5.28261898555165,-5.1747161565035915
66,2079.6854311776833,2103.659483515451,2127.819209144646,-11.010222732145651,-9.218316541363324,-7.553887436246138,-5.218978293090023,-5.137802725541129,-5.049523669995615,-11.226060268870821,-9.553654754075152,-7.9876042614835585,-5.945497933290975,-4.659160216091297,-4.046221995626192,-11.029690368547614,-9.260095323618902,-7.5124585177196535
67,614.3815168295855,625.27666891076,636.5723765561696,-9.331692282527884,-6.935847674896817,-6.378034692689789,-4.955662536289192,-4.750802858764703,-4.542456601211729,-11.229293076470924,-9.689264349857517,-8.141919579226903,-10.627627713931219,-8.047140960902805,-5.697283678844106,-5.390561472945825,-5.304188008994304,-5.213696263723911
68,1619.6607968652352,1644.7225222752522,1668.0770935886787,-11.03844935339869,-8.692586464902998,-6.7121873866617126,-5.717359416405419,-5.565794725955773,-5.418546571697669,-4.082497859788282,-4.022471979795716,-3.957120743465413,-10.28133311453252,-6.237246163686516,-3.926409730041314,-5.002745518033763,-4.916134080004686,-4.8342837739763755
69,1394.4779881993281,1417.9419983806342,1440.2936852136766,-5.080663644756042,-4.996508268389884,-4.916009156715924,-4.636443992712289,-4.511586359258285,-4.38568628440229,-5.374930115631253,-5.286588107365203,-5.1981434929749595,-6.506646215180789,-3.733161638450096,-3.005489495075609,-11.149760552173392,-9.177890424264564,-7.096835915377715
70,1307.6564514478043,1315.5679702927373,1324.0772379674029,-4.509184058448845,-4.478852074791144,-4.444230315732279,-5.742898164475423,-5.683014972232443,-5.6204884235314,-11.09614005941822,-9.4062395346316,-7.5725580348232855,-4.82941245678517,-4.33326453082855,-4.015190898314792,-4.598221947937596,-4.571536920711213,-4.546515466121908
71,1068.2516667114683,1097.871664888079,1126.9611042478796,-10.964006172835584,-9.007736896585083,-6.950788913273138,-11.364303539320037,-9.830837781950589,-8.42101885448247,-5.993078223106775,-5.791275340542089,-5.596910269326725,-10.66165937532609,-7.622302436123366,-5.3918033514261605,-4.809053323493872,-4.7030798935400275,-4.593362447731074
72,504.9980091136332,507.908548584745,510.3421857990447,-6.72825739270645,-6.571112220925745,-6.441002877373721,-11.020270488719907,-9.384985167286326,-8.581195867873483,-11.146015080637625,-9.648612928758793,-8.126855337329058,-4.887057068048193,-4.560459439702724,-4.205608642491969,-6.1947290134349675,-6.13146762509696,-6.070933697183526
73,1518.2271363540658,1549.037352851416,1579.3784149957773,-4.501444305196991,-4.328529553865433,-4.1664152431510955,-10.994063957983615,-8.909571177098904,-7.219233153667036,-4.163135900327314,-4.055297214120484,-3.9630954818748134,-10.043434417971635,-6.013729348110378,-3.693816150149162,-4.395163542869169,-4.288257594284325,-4.181098217631757
74,817.7732627508275,828.4159554674745,839.9427558311554,-3.4796203982242533,-3.3973597934134503,-3.3287446126484275,-7.79162508788913,-7.369345373502148,-7.034903302340396,-11.1760976076065,-9.588959541082632,-7.923500576556037,-9.526282964611708,-5.698025320935725,-4.5614900839397565,-10.972285694705509,-9.125903216743641,-7.1597276908266085
75,1190.9963585915666,1199.8015451410986,1208.5262845403008,-11.03612287165804,-9.165598137653523,-7.2514796534426775,-7.042601238567021,-6.9166587986124135,-6.802844519016201,-5.741539877180075,-5.632808961162151,-5.541398883045582,-4.549895553006587,-4.286958421277513,-4.084525846673101,-4.179829431125624,-4.149805321300248,-4.121789953763111
76,214.36794838017045,218.99866939654015,223.65155872323604,-3.4369920590890155,-3.2326829216512083,-3.0365029621436572,-8.598222895126495,-7.31284466879468,-6.391630604562323,-5.741208836505236,-5.443767342805721,-5.186706273736349,-6.796328433934911,-5.880762343081634,-5.230607762764678,-4.288844492403727,-4.157052399721027,-4.01365826490792
77,1084.7023054279887,1095.5593717975048,1106.1588525463392,-3.7425604698316386,-3.690665182260278,-3.6439045402422594,-10.753384007970203,-8.787249583281076,-7.918187142554143,-11.082406247429892,-9.282066561517611,-7.578382361816194,-9.174417546993553,-5.641350235816771,-4.694523554739045,-5.030496822131959,-4.983069231972602,-4.938557188004399
78,472.1416452556305,478.1691763615313,484.6085124235632,-4.491589836655607,-4.402192188671772,-4.306706413260936,-8.414290243162062,-7.8994516879624,-7.456133024264366,-11.337850061174699,-9.774753723077495,-8.107562186305856,-4.8154816147344155,-4.4399583935580305,-4.06110611006571,-7.450942270069245,-6.7888822204218044,-6.5395806787057325
79,1583.97748663697,1613.1755386483562,1640.6158975171802,-5.446351057975841,-5.3549245217284485,-5.2562301570627445,-5.35371515713332,-5.225044185247122,-5.085369953760106,-11.33473453216358,-9.62292189556198,-8.044454425292175,-10.45312881383768,-7.329309259897902,-4.914634124927827,-11.22494630833223,-9.425038305514862,-7.607422554193225
80,567.3450177523215,578.2428165832339,590.6230309178313,-10.903048734428912,-8.285119671865546,-6.210757634570982,-11.041766030846349,-9.355257048662798,-7.984137182956394,-3.205100809546314,-3.105536681302437,-3.013587770791158,-5.6666055515807745,-5.072462260351367,-4.617147993768046,-10.988875404919959,-9.1204080931792,-7.392644137900171
81,1311.8405365697283,1332.722883627537,1353.7406292176418,-10.982052976423542,-8.852095240155935,-6.9373947065200925,-6.962917340820485,-6.752982466575022,-6.571903171554308,-5.2272170530168784,-5.125688345905899,-5.021781158419182,-10.752926885735052,-7.995247134493096,-5.547990519011467,-4.2074048465715554,-4.1430577562227695,-4.080216175045328
82,1548.812646145943,1548.8152211326187,1548.8190528758485,-3.0844975162336703,-3.084282130823807,-3.0841047280114773,-5.525785601553609,-5.524534777873495,-5.5230070980005115,-10.187011299920703,-9.527882080183113,-9.10400057262554,-4.188632378019685,-4.187636405445326,-4.186090653851562,-10.385000954531701,-10.069931858474483,-9.805112095570067
